       2048:          11
       2049:        -100
       2050:         -10
       2051:          -5
       2052:          -2
       2053:          -1
       2054:           4
       2055:           5
       2056:           7
       2057:           8
       2058:          12
       2059:          20
       2060:           x
       2061:           x
       2062:           x
       2063:           x
       2064:           x
       2065:           x
       2066:           x
       2067:           x
       2068:           x
       2069:           x
       2070:           x
       2071:           x
       2072:           x
       2073:           x
       2074:           x
       2075:           x
       2076:           x
       2077:           x
       2078:           x
       2079:           x
       2080:           x
       2081:           x
       2082:           x
       2083:           x
       2084:           x
       2085:           x
       2086:           x
       2087:           x
       2088:           x
       2089:           x
       2090:           x
       2091:           x
       2092:           x
       2093:           x
       2094:           x
       2095:           x
       2096:           x
       2097:           x
       2098:           x
       2099:           x
       2100:           x
       2101:           x
       2102:           x
       2103:           x
       2104:           x
       2105:           x
       2106:           x
       2107:           x
       2108:           x
       2109:           x
       2110:           x
       2111:           x
       2112:           x
       2113:           x
       2114:           x
       2115:           x
       2116:           x
       2117:           x
       2118:           x
       2119:           x
       2120:           x
       2121:           x
       2122:           x
       2123:           x
       2124:           x
       2125:           x
       2126:           x
       2127:           x
       2128:           x
       2129:           x
       2130:           x
       2131:           x
       2132:           x
       2133:           x
       2134:           x
       2135:           x
       2136:           x
       2137:           x
       2138:           x
       2139:           x
       2140:           x
       2141:           x
       2142:           x
       2143:           x
       2144:           x
       2145:           x
       2146:           x
       2147:           x
       2148:           x
       2149:           x
       2150:           x
       2151:           x
       2152:           x
       2153:           x
       2154:           x
       2155:           x
       2156:           x
       2157:           x
       2158:           x
       2159:           x
       2160:           x
       2161:           x
       2162:           x
       2163:           x
       2164:           x
       2165:           x
       2166:           x
       2167:           x
       2168:           x
       2169:           x
       2170:           x
       2171:           x
       2172:           x
       2173:           x
       2174:           x
       2175:           x
       2176:           x
       2177:           x
       2178:           x
       2179:           x
       2180:           x
       2181:           x
       2182:           x
       2183:           x
       2184:           x
       2185:           x
       2186:           x
       2187:           x
       2188:           x
       2189:           x
       2190:           x
       2191:           x
       2192:           x
       2193:           x
       2194:           x
       2195:           x
       2196:           x
       2197:           x
       2198:           x
       2199:           x
       2200:           x
       2201:           x
       2202:           x
       2203:           x
       2204:           x
       2205:           x
       2206:           x
       2207:           x
       2208:           x
       2209:           x
       2210:           x
       2211:           x
       2212:           x
       2213:           x
       2214:           x
       2215:           x
       2216:           x
       2217:           x
       2218:           x
       2219:           x
       2220:           x
       2221:           x
       2222:           x
       2223:           x
       2224:           x
       2225:           x
       2226:           x
       2227:           x
       2228:           x
       2229:           x
       2230:           x
       2231:           x
       2232:           x
       2233:           x
       2234:           x
       2235:           x
       2236:           x
       2237:           x
       2238:           x
       2239:           x
       2240:           x
       2241:           x
       2242:           x
       2243:           x
       2244:           x
       2245:           x
       2246:           x
       2247:           x
       2248:           x
       2249:           x
       2250:           x
       2251:           x
       2252:           x
       2253:           x
       2254:           x
       2255:           x
       2256:           x
       2257:           x
       2258:           x
       2259:           x
       2260:           x
       2261:           x
       2262:           x
       2263:           x
       2264:           x
       2265:           x
       2266:           x
       2267:           x
       2268:           x
       2269:           x
       2270:           x
       2271:           x
       2272:           x
       2273:           x
       2274:           x
       2275:           x
       2276:           x
       2277:           x
       2278:           x
       2279:           x
       2280:           x
       2281:           x
       2282:           x
       2283:           x
       2284:           x
       2285:           x
       2286:           x
       2287:           x
       2288:           x
       2289:           x
       2290:           x
       2291:           x
       2292:           x
       2293:           x
       2294:           x
       2295:           x
       2296:           x
       2297:           x
       2298:           x
       2299:           x
       2300:           x
       2301:           x
       2302:           x
       2303:           x
       2304:           x
       2305:           x
       2306:           x
       2307:           x
       2308:           x
       2309:           x
       2310:           x
       2311:           x
       2312:           x
       2313:           x
       2314:           x
       2315:           x
       2316:           x
       2317:           x
       2318:           x
       2319:           x
       2320:           x
       2321:           x
       2322:           x
       2323:           x
       2324:           x
       2325:           x
       2326:           x
       2327:           x
       2328:           x
       2329:           x
       2330:           x
       2331:           x
       2332:           x
       2333:           x
       2334:           x
       2335:           x
       2336:           x
       2337:           x
       2338:           x
       2339:           x
       2340:           x
       2341:           x
       2342:           x
       2343:           x
       2344:           x
       2345:           x
       2346:           x
       2347:           x
       2348:           x
       2349:           x
       2350:           x
       2351:           x
       2352:           x
       2353:           x
       2354:           x
       2355:           x
       2356:           x
       2357:           x
       2358:           x
       2359:           x
       2360:           x
       2361:           x
       2362:           x
       2363:           x
       2364:           x
       2365:           x
       2366:           x
       2367:           x
       2368:           x
       2369:           x
       2370:           x
       2371:           x
       2372:           x
       2373:           x
       2374:           x
       2375:           x
       2376:           x
       2377:           x
       2378:           x
       2379:           x
       2380:           x
       2381:           x
       2382:           x
       2383:           x
       2384:           x
       2385:           x
       2386:           x
       2387:           x
       2388:           x
       2389:           x
       2390:           x
       2391:           x
       2392:           x
       2393:           x
       2394:           x
       2395:           x
       2396:           x
       2397:           x
       2398:           x
       2399:           x
       2400:           x
       2401:           x
       2402:           x
       2403:           x
       2404:           x
       2405:           x
       2406:           x
       2407:           x
       2408:           x
       2409:           x
       2410:           x
       2411:           x
       2412:           x
       2413:           x
       2414:           x
       2415:           x
       2416:           x
       2417:           x
       2418:           x
       2419:           x
       2420:           x
       2421:           x
       2422:           x
       2423:           x
       2424:           x
       2425:           x
       2426:           x
       2427:           x
       2428:           x
       2429:           x
       2430:           x
       2431:           x
       2432:           x
       2433:           x
       2434:           x
       2435:           x
       2436:           x
       2437:           x
       2438:           x
       2439:           x
       2440:           x
       2441:           x
       2442:           x
       2443:           x
       2444:           x
       2445:           x
       2446:           x
       2447:           x
       2448:           x
       2449:           x
       2450:           x
       2451:           x
       2452:           x
       2453:           x
       2454:           x
       2455:           x
       2456:           x
       2457:           x
       2458:           x
       2459:           x
       2460:           x
       2461:           x
       2462:           x
       2463:           x
       2464:           x
       2465:           x
       2466:           x
       2467:           x
       2468:           x
       2469:           x
       2470:           x
       2471:           x
       2472:           x
       2473:           x
       2474:           x
       2475:           x
       2476:           x
       2477:           x
       2478:           x
       2479:           x
       2480:           x
       2481:           x
       2482:           x
       2483:           x
       2484:           x
       2485:           x
       2486:           x
       2487:           x
       2488:           x
       2489:           x
       2490:           x
       2491:           x
       2492:           x
       2493:           x
       2494:           x
       2495:           x
       2496:           x
       2497:           x
       2498:           x
       2499:           x
       2500:           x
       2501:           x
       2502:           x
       2503:           x
       2504:           x
       2505:           x
       2506:           x
       2507:           x
       2508:           x
       2509:           x
       2510:           x
       2511:           x
       2512:           x
       2513:           x
